Name,Score,Review,Link,Addr
심양 청담본점,3.1,76,https://place.map.kakao.com/1068851079,"
서울 강남구 선릉로161길 21 영빌딩 1층
(지번) 신사동 662-8
"
치즈룸,3.9,423,https://place.map.kakao.com/2007335630,"
서울 강남구 논현로 854 안다즈호텔 지하1층 112,113호
(지번) 신사동 603-1
"
당옥,3.5,92,https://place.map.kakao.com/280071417,"
서울 강남구 강남대로162길 22 1층 101호
(지번) 신사동 521-5
"
볼피노,3.8,209,https://place.map.kakao.com/1617813108,"
서울 강남구 도산대로45길 10-7 삼희2빌딩 1층
(지번) 신사동 650-12
"
강서면옥 압구정점,3.6,74,https://place.map.kakao.com/8177726,"
서울 강남구 언주로164길 19 1,2층
(지번) 신사동 645-30
"
지아니스나폴리 가로수길점,4,76,https://place.map.kakao.com/19292399,"
서울 강남구 도산대로15길 15 2층
(지번) 신사동 541-6
"
우와 가로수길점,3.7,49,https://place.map.kakao.com/2136148310,"
서울 강남구 강남대로158길 17 1층
(지번) 신사동 508-8
"
카페키츠네 서울,3.8,207,https://place.map.kakao.com/1104225959,"
서울 강남구 가로수길 23
(지번) 신사동 535-13
"
옛향기가득한 동인동,3.9,28,https://place.map.kakao.com/7847225,"
서울 강남구 강남대로156길 14 정금빌딩 1층
(지번) 신사동 511-4
"
빵어니스타 압구정점,3.6,82,https://place.map.kakao.com/403091279,"
서울 강남구 도산대로25길 43 1층
(지번) 신사동 553-25
"
닭으로가 압구정본점,3.3,126,https://place.map.kakao.com/12445208,"
서울 강남구 언주로172길 55
(지번) 신사동 662-6
"
목포집 본점,3.4,154,https://place.map.kakao.com/26314261,"
서울 강남구 강남대로152길 24
(지번) 신사동 514-3
"
리틀사이공 압구정본점,3.8,59,https://place.map.kakao.com/13064473,"
서울 강남구 언주로174길 26
(지번) 신사동 640-1
"
몽고네,3.5,69,https://place.map.kakao.com/436651553,"
서울 강남구 선릉로155길 5 승승장구빌딩 1층
(지번) 신사동 665-11
"
감성타코앤그릴 신사점,3.5,13,https://place.map.kakao.com/26811268,"
서울 강남구 강남대로162길 31
(지번) 신사동 523-16
"
바빌리안테이블,4.4,181,https://place.map.kakao.com/25702460,"
서울 강남구 압구정로46길 5-2 원일빌딩 2층
(지번) 신사동 660-18
"
춘식당,3.4,136,https://place.map.kakao.com/137451961,"
서울 강남구 도산대로23길 17
(지번) 신사동 559-10
"
골드피쉬딤섬퀴진,3.8,129,https://place.map.kakao.com/24010315,"
서울 강남구 압구정로48길 35 2층
(지번) 신사동 657-5
"
갓포아키 도산공원점,4.2,57,https://place.map.kakao.com/19381618,"
서울 강남구 도산대로45길 8-3 2층
(지번) 신사동 651-5
"
압구정면옥,4.1,99,https://place.map.kakao.com/1224432398,"
서울 강남구 압구정로30길 16 1층
(지번) 신사동 610-3
"
웻커피 신사점,3.4,187,https://place.map.kakao.com/1194636005,"
서울 강남구 강남대로162길 18
(지번) 신사동 507-3
"
노모어피자,3.9,528,https://place.map.kakao.com/1748189002,"
서울 강남구 언주로164길 34-2 1층
(지번) 신사동 647-2
"
리커테이션,4.3,171,https://place.map.kakao.com/1768655445,"
서울 강남구 압구정로10길 13 지하1층
(지번) 신사동 532-4
"
르알래스카 가로수길점,3.8,100,https://place.map.kakao.com/17884613,"
서울 강남구 압구정로14길 15
(지번) 신사동 550-22
"
우미학,3.7,94,https://place.map.kakao.com/26821640,"
서울 강남구 압구정로30길 51 I.S.A빌딩 2층
(지번) 신사동 600-1
"
대봉집 신사본점,4.3,91,https://place.map.kakao.com/1853910181,"
서울 강남구 압구정로2길 57
(지번) 신사동 516-18
"
키친마이야르,4.4,99,https://place.map.kakao.com/234127678,"
서울 강남구 언주로170길 22 지하 1층
(지번) 신사동 644-6
"
식물학,3.6,183,https://place.map.kakao.com/2119458323,"
서울 강남구 강남대로154길 33
(지번) 신사동 516-16
"
스시이토,3.7,115,https://place.map.kakao.com/1753279987,"
서울 강남구 선릉로153길 22 4층
(지번) 신사동 656-15
"
양식당더램키친,4.2,45,https://place.map.kakao.com/19716587,"
서울 강남구 압구정로8길 5 2층
(지번) 신사동 529-6
"
하모,3.6,34,https://place.map.kakao.com/17806264,"
서울 강남구 언주로 819 HB빌딩 2층
(지번) 신사동 627-17
"
호화반점,3.2,60,https://place.map.kakao.com/9597852,"
서울 강남구 선릉로161길 5 1,2층
(지번) 신사동 664-25
"
신사전,3.9,136,https://place.map.kakao.com/478360598,"
서울 강남구 도산대로11길 18 1층 1호
(지번) 신사동 536-3
"
장다리,4.4,152,https://place.map.kakao.com/1321722203,"
서울 강남구 압구정로46길 5-14 1층
(지번) 신사동 660-13
"
세인트그릴,4.1,142,https://place.map.kakao.com/402310476,"
서울 강남구 논현로175길 63 1층
(지번) 신사동 550-8
"
가온,1.8,37,https://place.map.kakao.com/26796590,"
서울 강남구 도산대로 317 호림아트센터 M층
(지번) 신사동 651-27
"
마사타코,3.9,85,https://place.map.kakao.com/2137508291,"
서울 강남구 압구정로10길 30-8 1층
(지번) 신사동 524-29
"
대가방 압구정점,4,27,https://place.map.kakao.com/12387446,"
서울 강남구 논현로175길 64
(지번) 신사동 549-8
"
스킬렛 스테이크하우스,3.4,244,https://place.map.kakao.com/26473203,"
서울 강남구 논현로161길 57 머시주스빌딩 2층
(지번) 신사동 551-11
"
누데이크 하우스도산,3.4,374,https://place.map.kakao.com/507311553,"
서울 강남구 압구정로46길 50 지하1층
(지번) 신사동 649-8
"
제이앤제이슨X,3.4,83,https://place.map.kakao.com/737109232,"
서울 강남구 도산대로49길 31 아뜨레빌딩 지하 1층
(지번) 신사동 647-14
"
쉐이크쉑 청담점,3.6,262,https://place.map.kakao.com/819346791,"
서울 강남구 도산대로 327 SGF청담타워 1층
(지번) 신사동 652-16
"
인딕슬로우,4.4,156,https://place.map.kakao.com/1104467407,"
서울 강남구 압구정로4길 13 1층
(지번) 신사동 525-4
"
로로,3.4,456,https://place.map.kakao.com/205641442,"
서울 강남구 언주로164길 35 1,2층
(지번) 신사동 646-7
"
랜디스도넛 신사가로수길점,3.7,197,https://place.map.kakao.com/1197924993,"
서울 강남구 도산대로15길 16
(지번) 신사동 540-9
"
