name|score_naver|count_naver|score_daum|count_daum|score_dining|count_dining|score_trip|count_trip|score_manggo|count_manggo|total_count|score_weighted
가온|0.0|0|1.8|37|0.0|0|4.0|30|4.4|20|87|3.16
갓덴스시 신사점|0.0|0|2.8|43|0.0|0|0.0|0|0.0|0|43|2.8
갓포마코토|0.0|0|3.8|74|0.0|0|0.0|0|4.3|14|88|3.88
강남돌곱창|0.0|0|4.5|15|0.0|0|0.0|0|0.0|0|15|4.5
개미집|0.0|0|3.6|22|0.0|0|0.0|0|0.0|0|22|3.6
겟썸커피 신사점|0.0|0|3.7|41|0.0|0|0.0|0|0.0|0|41|3.7
경복궁불고기 압구정점|0.0|0|3.7|17|0.0|0|0.0|0|0.0|0|17|3.7
경성팔일삼 본점|0.0|0|4.5|56|0.0|0|0.0|0|0.0|0|56|4.5
계식당|0.0|0|2.3|35|0.0|0|0.0|0|0.0|0|35|2.3
고디바 가로수길플래그쉽|0.0|0|3.8|55|0.0|0|0.0|0|0.0|0|55|3.8
고향역|0.0|0|4.0|41|0.0|0|0.0|0|0.0|0|41|4.0
교대이층집 신사점|0.0|0|3.6|69|0.0|0|0.0|0|0.0|0|69|3.6
교텐|0.0|0|4.4|28|0.0|0|0.0|0|0.0|0|28|4.4
구스테이크528|0.0|0|4.5|7|0.0|0|0.0|0|0.0|0|7|4.5
구전동화|0.0|0|3.1|72|0.0|0|0.0|0|4.1|16|88|3.28
군자대한곱창 신사점|0.0|0|2.3|64|0.0|0|0.0|0|0.0|0|64|2.3
그레이그리스트밀|0.0|0|3.9|93|0.0|0|0.0|0|0.0|0|93|3.9
근식당|0.0|0|3.5|27|0.0|0|0.0|0|0.0|0|27|3.5
금산제면소 압구정점|0.0|0|1.6|51|0.0|0|0.0|0|0.0|0|51|1.6
금성스테이크부대찌개|0.0|0|3.2|40|0.0|0|0.0|0|0.0|0|40|3.2
금수복국 압구정점|0.0|0|3.5|44|0.0|0|0.0|0|0.0|0|44|3.5
기세끼 신사점|0.0|0|3.9|56|0.0|0|0.0|0|0.0|0|56|3.9
길손|0.0|0|4.0|20|0.0|0|0.0|0|0.0|0|20|4.0
김이순장춘|0.0|0|4.9|7|0.0|0|0.0|0|0.0|0|7|4.9
김작가의이중생활 신사가로수길점|0.0|0|2.3|21|0.0|0|0.0|0|0.0|0|21|2.3
까사밀 레스토랑|0.0|0|4.0|18|0.0|0|0.0|0|0.0|0|18|4.0
꼬끄더그릴|0.0|0|4.3|57|0.0|0|0.0|0|0.0|0|57|4.3
꼬륵 신사본점|0.0|0|4.0|60|0.0|0|0.0|0|0.0|0|60|4.0
꽁티드툴레아|0.0|0|3.2|841|4.0|15|0.0|0|4.2|86|942|3.3
끌림이탈리아|0.0|0|4.8|29|0.0|0|0.0|0|0.0|0|29|4.8
나미나미|0.0|0|3.7|18|0.0|0|0.0|0|0.0|0|18|3.7
네기스키야키|0.0|0|4.0|100|0.0|0|0.0|0|4.3|20|120|4.05
노아베이커리 압구정본점|0.0|0|3.8|120|0.0|0|0.0|0|0.0|0|120|3.8
노이에아트멍|0.0|0|4.4|19|0.0|0|0.0|0|4.1|24|43|4.23
논탄토|0.0|0|3.8|163|0.0|0|0.0|0|0.0|0|163|3.8
다이닝마|0.0|0|2.0|6|0.0|0|0.0|0|0.0|0|6|2.0
담미온 압구정점|0.0|0|3.3|25|0.0|0|0.0|0|0.0|0|25|3.3
대가방 압구정점|0.0|0|4.0|27|0.0|0|0.0|0|0.0|0|27|4.0
더앨리 가로수길점|0.0|0|3.3|65|0.0|0|0.0|0|0.0|0|65|3.3
더팔당 본점|0.0|0|2.6|35|0.0|0|0.0|0|0.0|0|35|2.6
도마야끼덕아웃|0.0|0|3.3|16|0.0|0|0.0|0|0.0|0|16|3.3
도산사카바카와세미|0.0|0|3.5|45|0.0|0|0.0|0|0.0|0|45|3.5
도수향|0.0|0|3.2|102|4.6|6|0.0|0|4.1|20|128|3.41
도어401|0.0|0|3.3|80|0.0|0|0.0|0|0.0|0|80|3.3
도쿄수플레 가로수길점|0.0|0|2.5|31|0.0|0|0.0|0|0.0|0|31|2.5
두부공작소 신사직영점|0.0|0|3.5|16|0.0|0|0.0|0|0.0|0|16|3.5
두사라|0.0|0|4.4|4|0.0|0|0.0|0|0.0|0|4|4.4
딸부자네불백 가로수길점|0.0|0|3.6|23|0.0|0|0.0|0|0.0|0|23|3.6
딸부자네불백 신사본점|0.0|0|3.6|46|0.0|0|0.0|0|0.0|0|46|3.6
라공방 가로수길본점|0.0|0|2.5|218|0.0|0|0.0|0|0.0|0|218|2.5
라그릴리아 청담점|0.0|0|3.1|37|0.0|0|4.0|1|0.0|0|38|3.12
라무진 신사가로수점|0.0|0|4.6|46|0.0|0|0.0|0|0.0|0|46|4.6
