name|tenCen|twoCen|threeCen|fourCen|fiveCen|sixCen|womanRatio|manRatio|gubun|score|visitCount|blogCount
옛날종로빈대떡|25.0|99.553|76.702|50.8915|42.1855|25.0|62|38|전,빈대떡|4.22|123|45.0
오페뜨 건대점|39.70070588|52.13505882|33.87270588|23.59176471|18.91741176|11.76470588|58|42|카페,디저트|4.76|700|649.0
은비스브레드 건국대|40.546|97.834|77.3225|70.669|49.436|47.2865|66|34|베이커리|4.43|68|9.0
이덕복인|25.0|73.4185|84.801|82.6855|67.207|76.9965|45|55|오리요리|4.75|3|7.0
이태리부대찌개 건대점|25.0|93.1185|81.2085|74.5005|52.012|25.0|47|53|찌개,전골|4.42|445|62.0
정면|11.76470588|49.18376471|38.07694118|27.94941176|24.56494118|11.76470588|46|54|국수|4.86|333|163.0
질서정연|11.76470588|49.79835294|30.088|16.78188235|11.76470588|11.76470588|56|44|요리주점|4.94|169|130.0
청춘등판|25.0|88.158|81.7085|89.295|78.408|25.0|53|47|한식|4.87|404|175.0
최가커피|11.76470588|48.55364706|35.47764706|27.70447059|18.692|11.76470588|48|52|카페|4.5|849|732.0
카페드라이|36.29647059|49.62541176|32.54235294|19.66352941|14.38682353|11.76470588|61|39|카페,디저트|4.53|258|340.0
쿵푸소룽샤&마라룽샤|71.5665|91.771|83.253|85.652|68.5665|25.0|46|54|중식당|4.64|330|658.0
평창 닭다리살 불고기|25.0|97.837|85.0325|65.5145|48.7075|25.0|41|59|육류,고기요리|4.43|300|134.0
포크포크 건대직영점|32.13529412|47.69105882|36.47717647|31.37364706|24.63717647|23.20870588|47|53|돈가스|4.53|536|222.0
한사바리|25.0|98.9055|98.4|25.0|25.0|25.0|38|62|요리주점|4.57|119|62.0
해란양꼬치|35.72564706|49.62282353|31.33011765|25.21576471|21.24870588|21.75882353|50|50|중식당|4.73|220|463.0
호우시절|25.0|91.876|86.9355|74.0445|25.0|25.0|50|50|요리주점|4.59|54|85.0
화양과자|35.88447059|49.024|34.55058824|26.50164706|15.40823529|11.76470588|60|40|카페,디저트|4.64|194|78.0
화양시장할머니순대국|25.0|92.2785|86.304|80.1535|66.962|73.9705|42|58|순대,순댓국|4.29|575|139.0
훈춘양꼬치|71.5665|91.771|83.253|85.652|68.5665|25.0|46|54|양꼬치|4.64|133|123.0
CUCINA843|11.76470588|48.06235294|36.85764706|26.39741176|17.50894118|11.76470588|51|49|양식|4.59|74|150.0
가츠시 건대점|11.76470588|50.99058824|30.70470588|26.53576471|21.96305882|11.76470588|48|52|일식당|4.56|629|154.0
감성당|11.76470588|49.36682353|29.02964706|20.52729412|14.33152941|11.76470588|57|43|양식|4.4|206|253.0
건대족발|25.0|94.058|81.2735|73.044|67.933|25.0|42|58|족발,보쌈|4.79|208|199.0
경양카츠 건대점|43.37670588|49.40494118|32.93529412|25.50705882|18.21811765|15.66470588|50|50|돈가스|4.44|389|175.0
고기야채|25.0|84.1205|79.7815|25.0|25.0|25.0|45|55|육류,고기요리|4.44|14|94.0
구구향훠궈 건대직영점|38.02352941|47.81364706|37.89176471|35.76164706|27.04447059|22.708|53|47|샤브샤브|5.0|282|90.0
그리네|44.62235294|52.29694118|27.90094118|18.94541176|15.00235294|11.76470588|63|37|카페,디저트|4.56|200|245.0
