name,gubun,score,visitCount,blogCount
후라토식당 상수직영점,일식당,4.71/5,"방문자 리뷰_ 1,111",블로그 리뷰_ 327
그동네떡볶이,종합분식,4.52/5,방문자 리뷰_ 869,블로그 리뷰_ 552
타프,와인,4.65/5,방문자 리뷰_ 111,블로그 리뷰_ 170
육몽 홍대본점,돼지고기구이,4.72/5,"방문자 리뷰_ 1,168","블로그 리뷰_ 1,080"
제임스시카고피자 홍대본점,피자,4.49/5,"방문자 리뷰_ 1,420",블로그 리뷰_ 759
카츠오모이 홍대점,돈가스,4.58/5,방문자 리뷰_ 371,블로그 리뷰_ 187
모크,"카페,디저트",4.6/5,방문자 리뷰_ 374,블로그 리뷰_ 247
더다이닝랩,양식,4.5/5,"방문자 리뷰_ 2,394",블로그 리뷰_ 901
마녀주방 홍대점,이탈리아음식,4.47/5,"방문자 리뷰_ 1,354","블로그 리뷰_ 1,467"
소고산제일루,중식당,4.33/5,방문자 리뷰_ 392,블로그 리뷰_ 468
혼신꼬치,"일식튀김,꼬치",4.37/5,방문자 리뷰_ 285,블로그 리뷰_ 246
july 13,"스테이크,립",4.37/5,방문자 리뷰_ 185,블로그 리뷰_ 55
심야식당밤,이자카야,4.79/5,방문자 리뷰_ 127,블로그 리뷰_ 116
이리에라멘,일본식라면,4.67/5,방문자 리뷰_ 196,블로그 리뷰_ 115
포포브레드,베이커리,4.75/5,방문자 리뷰_ 147,블로그 리뷰_ 183
심플리타이 합정점,태국음식,4.43/5,방문자 리뷰_ 538,블로그 리뷰_ 396
따로집,"전통,민속주점",4.79/5,방문자 리뷰_ 70,블로그 리뷰_ 85
공중도시,카페,4.68/5,방문자 리뷰_ 129,블로그 리뷰_ 160
에도마에텐동하마다 홍대점,일식당,4.41/5,방문자 리뷰_ 546,블로그 리뷰_ 351
상수주택,요리주점,4.41/5,방문자 리뷰_ 61,블로그 리뷰_ 14
마레스타,양식,4.51/5,방문자 리뷰_ 416,블로그 리뷰_ 364
랑빠스81,프랑스음식,4.49/5,방문자 리뷰_ 237,블로그 리뷰_ 282
금옥당 서교점,"카페,디저트",4.49/5,방문자 리뷰_ 734,블로그 리뷰_ 293
다운타우너 연남,양식,4.49/5,방문자 리뷰_ 667,블로그 리뷰_ 223
돼지명가,"육류,고기요리",4.56/5,방문자 리뷰_ 337,블로그 리뷰_ 204
조용한저녁,양식,4.83/5,"방문자 리뷰_ 2,502",블로그 리뷰_ 345
튜토리얼,카페,4.67/5,방문자 리뷰_ 147,블로그 리뷰_ 441
지로우 라멘,일식당,4.47/5,방문자 리뷰_ 667,블로그 리뷰_ 725
알디프 티 바,홍차전문점,4.82/5,"방문자 리뷰_ 2,862",블로그 리뷰_ 373
구공탄곱창 본점,"곱창,막창,양",4.5/5,방문자 리뷰_ 627,블로그 리뷰_ 539
후통,중식당,4.39/5,방문자 리뷰_ 205,블로그 리뷰_ 271
서교주담,요리주점,4.75/5,방문자 리뷰_ 181,블로그 리뷰_ 207
홍마떡 홍대본점,떡볶이,4.41/5,"방문자 리뷰_ 1,131","블로그 리뷰_ 1,412"
너구리베이글 합정점,베이커리,4.41/5,방문자 리뷰_ 124,블로그 리뷰_ 62
219레스토랑,"스파게티,파스타전문",4.59/5,방문자 리뷰_ 689,블로그 리뷰_ 302
한림돈가 서교직영점,돼지고기구이,4.52/5,방문자 리뷰_ 271,블로그 리뷰_ 562
홍대공감,이자카야,4.52/5,방문자 리뷰_ 254,블로그 리뷰_ 203
umoae,"카페,디저트",4.74/5,방문자 리뷰_ 237,블로그 리뷰_ 209
쿠시노주방,이자카야,4.41/5,방문자 리뷰_ 371,블로그 리뷰_ 555
마가렛리버,베이커리,4.43/5,방문자 리뷰_ 609,블로그 리뷰_ 613
EGO,"카페,디저트",4.59/5,방문자 리뷰_ 410,블로그 리뷰_ 187
비스트로연남,"스테이크,립",4.49/5,방문자 리뷰_ 626,블로그 리뷰_ 570
지하102호,이자카야,4.73/5,방문자 리뷰_ 144,블로그 리뷰_ 369
훌리오 홍대점,"멕시코,남미음식",4.42/5,방문자 리뷰_ 898,"블로그 리뷰_ 1,161"
쿄식탁,이자카야,4.42/5,방문자 리뷰_ 42,블로그 리뷰_ 32
블랑누아,와인,4.61/5,방문자 리뷰_ 625,블로그 리뷰_ 357
심양 홍대점,양꼬치,4.51/5,방문자 리뷰_ 160,블로그 리뷰_ 421
모멘트커피 2호점,카페,4.43/5,방문자 리뷰_ 347,블로그 리뷰_ 945
서플라이디팟 루프탑,"맥주,호프",4.85/5,방문자 리뷰_ 309,블로그 리뷰_ 229
스탠스커피,"카페,디저트",4.48/5,방문자 리뷰_ 196,블로그 리뷰_ 688
동두천솥뚜껑삼겹살 합정점,돼지고기구이,4.48/5,방문자 리뷰_ 455,블로그 리뷰_ 366
포36거리 홍대점,베트남음식,4.54/5,방문자 리뷰_ 332,블로그 리뷰_ 695
젤라띠젤라띠,아이스크림,4.56/5,"방문자 리뷰_ 1,009","블로그 리뷰_ 1,113"
미티,요리주점,4.93/5,방문자 리뷰_ 274,블로그 리뷰_ 94
청록양식,양식,4.75/5,"방문자 리뷰_ 1,124",블로그 리뷰_ 386
신주양꼬치 홍대점,양꼬치,4.58/5,방문자 리뷰_ 194,블로그 리뷰_ 853
로운 샤브샤브 홍대점,샤브샤브,4.21/5,"방문자 리뷰_ 2,276",블로그 리뷰_ 849
이미커피,"카페,디저트",4.76/5,방문자 리뷰_ 162,블로그 리뷰_ 243
박용석스시,"초밥,롤",4.16/5,방문자 리뷰_ 409,블로그 리뷰_ 534
데코아발림본점,카페,4.56/5,방문자 리뷰_ 323,블로그 리뷰_ 446
토끼정 홍대,일식당,4.54/5,방문자 리뷰_ 826,"블로그 리뷰_ 1,092"
동교해물,"해물,생선요리",4.52/5,방문자 리뷰_ 93,블로그 리뷰_ 99
맛깔1987,생선회,4.46/5,방문자 리뷰_ 222,블로그 리뷰_ 194
문릿아워,바(BAR),4.85/5,방문자 리뷰_ 54,블로그 리뷰_ 6
리춘시장 연남점,중식당,4.48/5,방문자 리뷰_ 134,블로그 리뷰_ 94
물고기초밥,"초밥,롤",4.55/5,방문자 리뷰_ 297,블로그 리뷰_ 688
수염,"맥주,호프",4.58/5,방문자 리뷰_ 146,블로그 리뷰_ 148
합정광안리,생선회,4.47/5,방문자 리뷰_ 351,블로그 리뷰_ 652
또보겠지떡볶이집호호피크닉점,떡볶이,4.57/5,방문자 리뷰_ 752,블로그 리뷰_ 453
멘타카무쇼,일본식라면,4.61/5,방문자 리뷰_ 285,블로그 리뷰_ 124
798화로,소고기구이,4.72/5,방문자 리뷰_ 175,블로그 리뷰_ 609
계담다,요리주점,4.42/5,방문자 리뷰_ 314,블로그 리뷰_ 291
메이비 케이크 홍대본점,케이크전문,4.47/5,방문자 리뷰_ 294,블로그 리뷰_ 151
배떼기곱창 홍대점,"곱창,막창,양",4.4/5,방문자 리뷰_ 356,블로그 리뷰_ 765
티와이티디,"카페,디저트",4.4/5,방문자 리뷰_ 114,블로그 리뷰_ 53
손오공마라탕 동교동점,중식당,4.47/5,"방문자 리뷰_ 1,677",블로그 리뷰_ 424
또보겠지떡볶이 해피토스점,분식,4.48/5,방문자 리뷰_ 645,블로그 리뷰_ 257
사카바 토리야,이자카야,4.48/5,방문자 리뷰_ 108,블로그 리뷰_ 55
더페이머스램,카페,4.44/5,"방문자 리뷰_ 1,121",블로그 리뷰_ 775
핏제리아오 합정역점,피자,4.44/5,방문자 리뷰_ 32,블로그 리뷰_ 24
이양권반상,한식,5/5,방문자 리뷰_ 194,블로그 리뷰_ 109
옹달샘 본점,한식,4.32/5,방문자 리뷰_ 375,블로그 리뷰_ 545
버거스올마이티 홍대점,햄버거,4.32/5,방문자 리뷰_ 200,블로그 리뷰_ 125
유경당 연남점,퓨전음식,4.34/5,방문자 리뷰_ 457,블로그 리뷰_ 287
플랜트 연남점,샌드위치,4.43/5,방문자 리뷰_ 239,블로그 리뷰_ 168
이가산시도삭면,중식당,4.43/5,방문자 리뷰_ 43,블로그 리뷰_ 22
샐러드 브라더스,"다이어트,샐러드",4.52/5,방문자 리뷰_ 322,블로그 리뷰_ 232
안녕파스타씨,"스파게티,파스타전문",4.24/5,방문자 리뷰_ 250,"블로그 리뷰_ 1,001"
데우스 카페,"카페,디저트",4.44/5,방문자 리뷰_ 103,블로그 리뷰_ 105
동차밥,일식당,4.6/5,방문자 리뷰_ 513,블로그 리뷰_ 738
차차티클럽 연남,"카페,디저트",4.6/5,방문자 리뷰_ 27,블로그 리뷰_ 196
코르크,"맥주,호프",4.22/5,방문자 리뷰_ 267,블로그 리뷰_ 156
그녀의밥상,"백반,가정식",4.3/5,방문자 리뷰_ 139,블로그 리뷰_ 200
김사또상수본점,떡볶이,4.45/5,방문자 리뷰_ 294,"블로그 리뷰_ 1,243"
오제키,이자카야,4.45/5,방문자 리뷰_ 27,블로그 리뷰_ 17
JASE,바(BAR),4.37/5,방문자 리뷰_ 178,블로그 리뷰_ 480
고시고시,퓨전음식,4.37/5,방문자 리뷰_ 378,블로그 리뷰_ 463
연어롭다,일식당,4.37/5,방문자 리뷰_ 923,"블로그 리뷰_ 1,646"
섬,"백반,가정식",4.61/5,방문자 리뷰_ 295,블로그 리뷰_ 143
