name,tenCen,twoCen,threeCen,fourCen,fiveCen,sixCen,womanRatio,manRatio
로쏘 1924 나폴리 화덕피자 홍대점,19.277714285714247%_10|,28.74942857142855%_20|,18.368285714285694%_30|,16.81971428571427%_40|,13.891142857142816%_50|,15.078857142857125%_60|,여자_49%,남자_51%
또보겠지떡볶이집 붕붕허니비점,19.277714285714247%_10|,28.74942857142855%_20|,18.368285714285694%_30|,16.81971428571427%_40|,13.891142857142816%_50|,15.078857142857125%_60|,여자_49%,남자_51%
육지,44.41733333333334%_10|,92.93366666666664%_20|,67.4413333333333%_30|,47.87300000000001%_40|,39.80666666666665%_50|,33.04633333333332%_60|,여자_43%,남자_57%
광야,55.41266666666665%_10|,75.27766666666665%_20|,56.266666666666644%_30|,38.495666666666665%_40|,32.18633333333331%_50|,26.69200000000001%_60|,여자_58%,남자_42%
스케줄합정,53.150666666666666%_10|,77.77099999999999%_20|,61.77366666666665%_30|,43.427666666666674%_40|,34.35633333333332%_50|,29.769666666666655%_60|,여자_57%,남자_43%
신미경홍대닭갈비,43.37247058823529%_10|,52.72776470588234%_20|,37.722352941176474%_30|,33.999529411764705%_40|,28.608000000000004%_50|,23.34988235294118%_60|,여자_51%,남자_49%
칸다소바,58.97066666666665%_10|,78.50633333333333%_20|,51.892333333333305%_30|,35.85466666666666%_40|,27.30666666666666%_50|,23.376333333333328%_60|,여자_55%,남자_45%
여우골 서교점,34.859058823529416%_10|,50.01364705882353%_20|,37.55035294117646%_30|,33.01741176470588%_40|,26.857647058823535%_50|,23.023529411764702%_60|,여자_50%,남자_50%
화담,11.764705882352951%_10|,52.32917647058824%_20|,35.31811764705881%_30|,24.744235294117644%_40|,12.35858823529412%_50|,11.764705882352951%_60|,여자_49%,남자_51%
유메 홍대본점,20.32166666666668%_10|,82.46266666666668%_20|,60.26866666666667%_30|,44.34166666666664%_40|,32.00566666666666%_50|,26.820999999999977%_60|,여자_48%,남자_52%
도프피자베이커스 홍대점,36.45152941176471%_10|,48.61011764705883%_20|,38.66517647058823%_30|,29.464470588235294%_40|,21.95882352941176%_50|,17.227764705882354%_60|,여자_54%,남자_46%
하카타분코,40.68494117647059%_10|,48.91341176470588%_20|,41.554588235294105%_30|,32.27458823529412%_40|,20.862352941176468%_50|,20.05952941176471%_60|,여자_45%,남자_55%
경주식당,53.82199999999999%_10|,76.36533333333331%_20|,55.126666666666644%_30|,45.343666666666664%_40|,36.762999999999984%_50|,29.702333333333346%_60|,여자_53%,남자_47%
943 킹스크로스CAFE,81.73099999999998%_10|,87.17766666666667%_20|,50.296%_30|,50.62633333333332%_40|,25.443999999999985%_50|,21.02300000000001%_60|,여자_56%,남자_44%
오모테나시 오마카세,32.45366666666667%_10|,85.39233333333331%_20|,67.335%_30|,53.26033333333331%_40|,44.71066666666667%_50|,35.47666666666667%_60|,여자_42%,남자_58%
