name,tenCen,twoCen,threeCen,fourCen,fiveCen,sixCen,womanRatio,manRatio
스아게,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_55%,남자_45%
샐러디 합정역점,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_64%,남자_36%
연남쌀국수 똣,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_54%,남자_46%
트래블메이커,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_55%,남자_45%
구스토타코,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_54%,남자_46%
푸하하크림빵,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_60%,남자_40%
베어스덴베이커리,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_61%,남자_39%
우마담,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_48%,남자_52%
멘야하나비 합정점,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_54%,남자_46%
슬로우타코,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_55%,남자_45%
들풀한상,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_53%,남자_47%
연남족발1987,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_47%,남자_53%
커피 벌스데이,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_63%,남자_37%
뉴오더클럽 연남,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_59%,남자_41%
남산호랭이,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_59%,남자_41%
윤씨밀방,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_54%,남자_46%
정무관,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_46%,남자_54%
교동집,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_52%,남자_48%
이츠모라멘,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_47%,남자_53%
김씨육면,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_49%,남자_51%
1989버거스탠드 연남,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_51%,남자_49%
공상온도,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_59%,남자_41%
멘야산다이메 본점,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_48%,남자_52%
웃사브,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_55%,남자_45%
식스티즈,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_48%,남자_52%
루프탑 G 길리건스,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_52%,남자_48%
돈주는남자 본점,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_43%,남자_57%
산더미불고기,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_43%,남자_57%
테이커테이블,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_55%,남자_45%
발리 슈퍼스토어,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_52%,남자_48%
