name,score,reviewCnt,category,address,url
우 텐더,3.5,7,아시아 요리,서울 강남구 압구정로42길 25-10,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d17602382-Reviews-Woo_Tender-Seoul.html
몽크투바흐,5.0,1,저녁식사,서울 도산대로27길 21,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d9416957-Reviews-Monk_to_Bach-Seoul.html
희유,5.0,1,일본 요리,서울 강남구 논현로164길 18,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d18543650-Reviews-Hee_Yu-Seoul.html
화해당,4.0,2,아시아 요리,서울 도산대로45길 8-7,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d8960266-Reviews-Hwahae_Dang-Seoul.html
시추안 하우스 - 압구정점,5.0,1,점심식사,서울 강남구 논현로 854 Andaz Seoul Gangnam B1 level,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d19449515-Reviews-Sichuan_House_Apgujeong-Seoul.html
감성돼지,4.0,2,아시아 요리,서울 강남구 강남대로152길 15,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d13108654-Reviews-Gamsung_Daeji-Seoul.html
메르시보니,4.5,2,프랑스 요리,서울 강남구 강남대로152길 69,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d8532249-Reviews-Merci_Bonnie-Seoul.html
바랗,3.5,13,해산물,서울 도산대로 309,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d8902794-Reviews-Barat-Seoul.html
뱃고동,4.0,2,점심식사,서울 언주로172길 54,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d8953447-Reviews-Baetgodong-Seoul.html
오호리준 - 신사가로수길점,5.0,1,아시아 요리,서울 강남구 강남대로158길 10,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d16935697-Reviews-Ohori_Juun_Sinsa_Galosugil-Seoul.html
로켓크리스피치킨 - 압구정 로데오 2호점,4.0,2,아시아 요리,서울 강남구 언주로172길 51 2층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d15320347-Reviews-Rocket_Crispy_Chicken_Apgujeong_Rodeo_2nd_Store-Seoul.html
로켓크리스피치킨 - 압구정 로데오 2호점,4.0,2,아시아 요리,서울 강남구 언주로172길 51 2층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d15320347-Reviews-Rocket_Crispy_Chicken_Apgujeong_Rodeo_2nd_Store-Seoul.html
킨톤라멘 - 도산공원점,5.0,1,점심식사,서울 강남구 도산대로45길 10-5 지하 1층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d15785493-Reviews-Kinton_Ramen_Dosan_Park-Seoul.html
18 스텝스,4.0,3,와인 바,서울 강남구 압구정로10길 24 보성빌딩 2층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d6876796-Reviews-18_Steps-Seoul.html
피오렌티나,5.0,1,이탈리아 요리,"서울 강남구 신사동 583-3  JB MISO빌딩 104호 #104, JB MISO Bldg.",https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d4073898-Reviews-Piorentina-Seoul.html
살롱 그란데,4.5,2,이탈리아 요리,서울 강남구 압구정로4길 13-19,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d6643573-Reviews-Salon_Grande-Seoul.html
아비꼬 압구정로데오점,4.0,2,일본 요리,서울 압구정로50길 22,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d8934810-Reviews-Abiko_Curry-Seoul.html
에프앤비 가로수점,5.0,1,이탈리아 요리,서울 강남구 강남대로156길 46 지하 1층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d12442890-Reviews-FNB_Garosu-Seoul.html
개화옥,3.0,9,아시아 요리,서울 강남구 신사동 661-18 정동상가 107호,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d4078238-Reviews-Gaehwaok-Seoul.html
라그릴리아 청담점,4.0,1,그릴,서울 강남구 도산대로 327 SGF 청담타워 2층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d14066831-Reviews-La_Grillia_Cheongdam-Seoul.html
타따블,4.0,1,자가 맥주 판매pub,서울 강남구 도산대로51길 39 1층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d13276491-Reviews-Tha_Table-Seoul.html
