,name,score,visitCount,blogCount
1155,몽몽공장 아뜰리에 드로잉카페,4.9/5,방문자 리뷰_ 233,블로그 리뷰_ 91
1156,복만루,4.46/5,방문자 리뷰_ 151,블로그 리뷰_ 248
1157,김부삼 건대점,4.26/5,방문자 리뷰_ 325,블로그 리뷰_ 312
1158,이름없는파스타 건대점,4.32/5,방문자 리뷰_ 458,블로그 리뷰_ 136
1159,금하,4.24/5,방문자 리뷰_ 285,블로그 리뷰_ 94
1160,꼽사리떡볶이,4.15/5,방문자 리뷰_ 226,블로그 리뷰_ 104
1161,무지개맥주 건대점,4.64/5,방문자 리뷰_ 139,블로그 리뷰_ 62
1162,궤도에오르다,4.58/5,방문자 리뷰_ 207,블로그 리뷰_ 161
1163,123막창 서울건대점,4.4/5,방문자 리뷰_ 250,블로그 리뷰_ 70
1164,아메리칸트레이 건대입구점,4.4/5,방문자 리뷰_ 62,블로그 리뷰_ 89
1165,만원수산 건대점,4.66/5,방문자 리뷰_ 210,블로그 리뷰_ 171
1166,당산오돌 구의역점,4.66/5,방문자 리뷰_ 340,블로그 리뷰_ 452
1167,아웃닭 건대점,4.44/5,방문자 리뷰_ 442,블로그 리뷰_ 234
1168,강경수참치,4.62/5,방문자 리뷰_ 128,블로그 리뷰_ 72
1169,온달집 건대점,4.29/5,방문자 리뷰_ 236,블로그 리뷰_ 77
1170,조선주막,4.42/5,방문자 리뷰_ 347,블로그 리뷰_ 304
1171,갈비집 본,5/5,방문자 리뷰_ 53,블로그 리뷰_ 64
1172,푸오커스,5/5,방문자 리뷰_ 104,블로그 리뷰_ 53
1173,오감만족,4.37/5,방문자 리뷰_ 187,블로그 리뷰_ 79
1174,통큰감자탕,4.51/5,방문자 리뷰_ 192,블로그 리뷰_ 106
1175,트리안 건대점,4.45/5,방문자 리뷰_ 328,블로그 리뷰_ 134
1176,롤링파스타 건대지점,4.42/5,방문자 리뷰_ 934,블로그 리뷰_ 332
1177,대동집 건대점,4.42/5,방문자 리뷰_ 80,블로그 리뷰_ 22
1178,난바다스시,4.42/5,방문자 리뷰_ 669,블로그 리뷰_ 69
1179,칸틴,4.17/5,방문자 리뷰_ 27,블로그 리뷰_ 42
1180,대찬갈비,4.58/5,방문자 리뷰_ 152,블로그 리뷰_ 65
1181,알촌 건국대점,4.42/5,방문자 리뷰_ 284,블로그 리뷰_ 66
1182,해남닭집,4.53/5,방문자 리뷰_ 257,블로그 리뷰_ 113
1183,대곱창 건대점,4.85/5,방문자 리뷰_ 108,블로그 리뷰_ 217
1184,블랙아웃커피,4.85/5,방문자 리뷰_ 23,블로그 리뷰_ 20
1185,명륜진사갈비 자양점,4.31/5,방문자 리뷰_ 484,블로그 리뷰_ 44
1186,연탄불꿀곱창,4.34/5,방문자 리뷰_ 222,블로그 리뷰_ 70
1187,털보타코,5/5,방문자 리뷰_ 28,블로그 리뷰_ 65
1188,프랭크버거 건대점,4.46/5,방문자 리뷰_ 615,블로그 리뷰_ 168
1189,홍대돈부리 건대점,4.5/5,방문자 리뷰_ 246,블로그 리뷰_ 476
1190,동해해물,4.38/5,방문자 리뷰_ 120,블로그 리뷰_ 197
1191,샐러디 건대역점,4.56/5,"방문자 리뷰_ 1,137",블로그 리뷰_ 90
