name,score,visitCount,blogCount
동차밥,4.6/5,방문자 리뷰_ 513,블로그 리뷰_ 738
차차티클럽 연남,,방문자 리뷰_ 27,블로그 리뷰_ 196
코르크,4.22/5,방문자 리뷰_ 267,블로그 리뷰_ 156
그녀의밥상,4.3/5,방문자 리뷰_ 139,블로그 리뷰_ 200
김사또상수본점,4.45/5,방문자 리뷰_ 294,"블로그 리뷰_ 1,245"
오제키,,방문자 리뷰_ 27,블로그 리뷰_ 17
JASE,4.37/5,방문자 리뷰_ 178,블로그 리뷰_ 480
고시고시,,방문자 리뷰_ 378,블로그 리뷰_ 463
연어롭다,,방문자 리뷰_ 923,"블로그 리뷰_ 1,646"
섬,4.61/5,방문자 리뷰_ 295,블로그 리뷰_ 142
사운드카페 소리,4.5/5,방문자 리뷰_ 81,블로그 리뷰_ 231
가메스시,4.69/5,방문자 리뷰_ 105,블로그 리뷰_ 76
삼청당 홍대본점,4.68/5,방문자 리뷰_ 579,블로그 리뷰_ 46
어리라운지,4.78/5,방문자 리뷰_ 96,블로그 리뷰_ 171
데일리라운드,4.57/5,방문자 리뷰_ 366,블로그 리뷰_ 534
윤서울,4.8/5,방문자 리뷰_ 25,블로그 리뷰_ 71
빵나무,4.55/5,방문자 리뷰_ 637,블로그 리뷰_ 420
바스버거 연남점,4.56/5,방문자 리뷰_ 700,블로그 리뷰_ 415
이미커피,4.76/5,방문자 리뷰_ 162,블로그 리뷰_ 243
박용석스시,4.16/5,방문자 리뷰_ 409,블로그 리뷰_ 534
데코아발림본점,4.56/5,방문자 리뷰_ 323,블로그 리뷰_ 446
동교해물,4.52/5,방문자 리뷰_ 93,블로그 리뷰_ 98
맛깔1987,4.46/5,방문자 리뷰_ 222,블로그 리뷰_ 194
문릿아워,4.85/5,방문자 리뷰_ 53,블로그 리뷰_ 6
리춘시장 연남점,4.48/5,방문자 리뷰_ 134,블로그 리뷰_ 94
물고기초밥,4.55/5,방문자 리뷰_ 297,블로그 리뷰_ 688
수염,4.58/5,방문자 리뷰_ 146,블로그 리뷰_ 148
합정광안리,4.47/5,방문자 리뷰_ 351,블로그 리뷰_ 652
또보겠지떡볶이집호호피크닉점,4.57/5,방문자 리뷰_ 752,블로그 리뷰_ 453
멘타카무쇼,4.61/5,방문자 리뷰_ 285,블로그 리뷰_ 124
798화로,4.72/5,방문자 리뷰_ 175,블로그 리뷰_ 609
계담다,4.42/5,방문자 리뷰_ 314,블로그 리뷰_ 291
메이비 케이크 홍대본점,4.47/5,방문자 리뷰_ 294,블로그 리뷰_ 151
배떼기곱창 홍대점,4.4/5,방문자 리뷰_ 356,블로그 리뷰_ 765
티와이티디,,방문자 리뷰_ 114,블로그 리뷰_ 53
손오공마라탕 동교동점,4.47/5,"방문자 리뷰_ 1,676",블로그 리뷰_ 424
또보겠지떡볶이 해피토스점,4.48/5,방문자 리뷰_ 645,블로그 리뷰_ 257
사카바 토리야,,방문자 리뷰_ 108,블로그 리뷰_ 55
더페이머스램,4.44/5,"방문자 리뷰_ 1,121",블로그 리뷰_ 775
핏제리아오 합정역점,,방문자 리뷰_ 32,블로그 리뷰_ 24
너구리베이글 합정점,,방문자 리뷰_ 124,블로그 리뷰_ 62
이양권반상,5/5,방문자 리뷰_ 194,블로그 리뷰_ 109
옹달샘 본점,4.32/5,방문자 리뷰_ 375,블로그 리뷰_ 545
버거스올마이티 홍대점,,방문자 리뷰_ 200,블로그 리뷰_ 125
유경당 연남점,4.34/5,방문자 리뷰_ 457,블로그 리뷰_ 287
플랜트 연남점,4.43/5,방문자 리뷰_ 239,블로그 리뷰_ 168
이가산시도삭면,,방문자 리뷰_ 43,블로그 리뷰_ 22
