name,tenCen,twoCen,threeCen,fourCen,fiveCen,sixCen,womanRatio,manRatio
맛남살롱 부평점,29.993411764705886%_10|,47.239058823529405%_20|,44.447764705882356%_30|,38.75176470588236%_40|,24.01058823529413%_50|,17.560235294117646%_60|,여자_65%,남자_35%
우와,50.791333333333334%_10|,75.96366666666664%_20|,57.310333333333304%_30|,41.826666666666675%_40|,33.759333333333316%_50|,31.196666666666644%_60|,여자_53%,남자_47%
소코아 부평점,32.15435294117647%_10|,47.77082352941177%_20|,39.48423529411763%_30|,34.86141176470588%_40|,27.61999999999999%_50|,22.904470588235288%_60|,여자_56%,남자_44%
팔각도 부평역점,36.95694117647056%_10|,47.237647058823526%_20|,39.76658823529411%_30|,35.82517647058821%_40|,28.236470588235278%_50|,23.812470588235282%_60|,여자_49%,남자_51%
온센 부평점,42.184705882352944%_10|,51.51058823529411%_20|,38.30635294117647%_30|,30.71388235294118%_40|,20.83035294117646%_50|,17.6705882352941%_60|,여자_51%,남자_49%
밀레,49.370499999999964%_10|,84.63099999999997%_20|,89.67649999999996%_30|,90.65749999999997%_40|,90.25949999999996%_50|,82.90099999999998%_60|,여자_56%,남자_44%
홍미집 부평역점,54.04149999999998%_10|,99.38199999999999%_20|,78.46399999999994%_30|,70.57649999999994%_40|,62.22649999999997%_50|,58.87099999999996%_60|,여자_50%,남자_50%
더 레드락,54.04149999999998%_10|,99.38199999999999%_20|,78.46399999999994%_30|,70.57649999999994%_40|,62.22649999999997%_50|,58.87099999999996%_60|,여자_50%,남자_50%
불타는 주먹다짐,11.764705882352951%_10|,47.48658823529412%_20|,39.6049411764706%_30|,32.43552941176469%_40|,23.051058823529416%_50|,23.199058823529413%_60|,여자_50%,남자_50%
쿠우쿠우 부평점,77.1669999999999%_10|,83.64199999999991%_20|,73.8469999999999%_30|,93.49399999999999%_40|,60.41299999999995%_50|,51.52199999999997%_60|,여자_47%,남자_53%
목구멍 인천부평삼산점,6.8708571428571314%_10|,28.650285714285694%_20|,22.763999999999974%_30|,21.539428571428545%_40|,13.222857142857109%_50|,6.076857142857107%_60|,여자_47%,남자_53%
크림380,39.967764705882345%_10|,49.62188235294117%_20|,38.115294117647046%_30|,30.110352941176465%_40|,17.39882352941177%_50|,13.91623529411764%_60|,여자_66%,남자_34%
쉐라메르제과점,25.008999999999954%_10|,71.28099999999993%_20|,78.8969999999999%_30|,77.564%_40|,37.31799999999997%_50|,34.43299999999994%_60|,여자_58%,남자_42%
교레츠라멘,57.93099999999997%_10|,99.16299999999991%_20|,82.44299999999996%_30|,60.075999999999915%_40|,32.19899999999987%_50|,49.639999999999915%_60|,여자_44%,남자_56%
LLENO,11.764705882352951%_10|,47.18070588235293%_20|,38.74094117647059%_30|,23.266352941176475%_40|,14.73694117647059%_50|,11.764705882352951%_60|,여자_57%,남자_43%
덩그러니,25.00000000000001%_10|,99.62049999999996%_20|,85.62199999999994%_30|,73.58849999999998%_40|,45.540000000000006%_50|,25.00000000000001%_60|,여자_65%,남자_35%
아롬베이크,34.082352941176474%_10|,48.48423529411763%_20|,38.268235294117645%_30|,25.722352941176464%_40|,13.756000000000009%_50|,11.764705882352951%_60|,여자_68%,남자_32%
1982삼계정 본점,25.00000000000001%_10|,71.94349999999997%_20|,88.68749999999994%_30|,95.20099999999995%_40|,86.52199999999995%_50|,86.07899999999998%_60|,여자_45%,남자_55%
에키노마에,34.73482352941175%_10|,48.91882352941176%_20|,41.28682352941176%_30|,37.20588235294116%_40|,25.419999999999998%_50|,23.28211764705881%_60|,여자_59%,남자_41%
론트커피,40.695764705882354%_10|,51.8825882352941%_20|,38.68470588235293%_30|,23.047529411764714%_40|,13.975529411764706%_50|,11.764705882352951%_60|,여자_58%,남자_42%
에픽,34.41929411764704%_10|,47.766823529411745%_20|,41.58447058823526%_30|,35.97929411764705%_40|,29.896235294117634%_50|,25.435999999999964%_60|,여자_57%,남자_43%
모모네이층집,11.764705882352951%_10|,49.32682352941176%_20|,38.126352941176464%_30|,28.46941176470587%_40|,21.191294117647058%_50|,11.764705882352951%_60|,여자_55%,남자_45%
투파인드피터 부평점,59.939%_10|,75.25433333333334%_20|,52.40899999999999%_30|,39.75033333333332%_40|,32.41166666666665%_50|,26.75733333333333%_60|,여자_58%,남자_42%
굴리미,25.00000000000001%_10|,83.54099999999994%_20|,79.58349999999996%_30|,86.88249999999994%_40|,81.0945%_50|,82.02749999999995%_60|,여자_52%,남자_48%
마라홀릭 마라탕 부평점,50.469176470588216%_10|,47.57976470588235%_20|,32.232235294117636%_30|,32.69811764705881%_40|,20.853882352941163%_50|,20.480705882352936%_60|,여자_58%,남자_42%
모녀떡볶이 부평남부역점,57.64%_10|,84.92099999999999%_20|,95.02949999999996%_30|,98.17299999999997%_40|,60.07149999999998%_50|,45.60750000000001%_60|,여자_54%,남자_46%
하남돼지집 부평역점,25.00000000000001%_10|,98.22899999999997%_20|,80.60549999999998%_30|,68.65249999999999%_40|,51.719499999999954%_50|,42.76299999999998%_60|,여자_48%,남자_52%
디에프,41.14470588235295%_10|,50.61058823529412%_20|,31.13082352941177%_30|,21.06658823529411%_40|,13.684235294117656%_50|,11.764705882352951%_60|,여자_62%,남자_38%
면박사가야밀면,25.00000000000001%_10|,74.34449999999995%_20|,87.80949999999996%_30|,93.10099999999996%_40|,81.5405%_50|,83.38299999999995%_60|,여자_43%,남자_57%
이삼옥,41.948470588235296%_10|,49.011999999999986%_20|,37.326823529411755%_30|,28.495764705882344%_40|,19.580470588235286%_50|,11.764705882352951%_60|,여자_59%,남자_41%
막이오름 인천부평점,11.764705882352951%_10|,49.96964705882352%_20|,37.69505882352941%_30|,30.06705882352942%_40|,20.91176470588236%_50|,21.35670588235294%_60|,여자_52%,남자_48%
쇼쿠미,51.059%_10|,94.523%_20|,93.59549999999996%_30|,79.59599999999998%_40|,58.69849999999997%_50|,45.043499999999995%_60|,여자_53%,남자_47%
리워크커피,38.045176470588224%_10|,47.48658823529412%_20|,38.411294117647046%_30|,28.683529411764713%_40|,21.522352941176482%_50|,11.764705882352951%_60|,여자_60%,남자_40%
디지,16.66666666666668%_10|,78.82066666666664%_20|,41.075333333333305%_30|,29.317999999999987%_40|,23.458333333333318%_50|,16.66666666666668%_60|,여자_53%,남자_47%
크리미데이지,27.074588235294122%_10|,48.27223529411765%_20|,30.6715294117647%_30|,19.891058823529402%_40|,14.954352941176458%_50|,11.764705882352951%_60|,여자_65%,남자_35%
공을기,25.00000000000001%_10|,84.59849999999999%_20|,91.25449999999998%_30|,84.51499999999997%_40|,68.58099999999997%_50|,69.72499999999997%_60|,여자_48%,남자_52%
빵카페 인천부평점,34.77999999999993%_10|,84.87999999999998%_20|,85.00299999999996%_30|,90.92599999999997%_40|,65.28199999999997%_50|,33.794999999999916%_60|,여자_58%,남자_42%
첫번째부엌,15.385142857142828%_10|,30.68199999999997%_20|,16.903428571428556%_30|,11.214571428571409%_40|,6.236285714285695%_50|,3.88171428571425%_60|,여자_56%,남자_44%
칸다소바 부평점,36.38541176470587%_10|,51.38517647058821%_20|,40.311058823529386%_30|,34.002588235294084%_40|,25.806823529411737%_50|,24.144235294117614%_60|,여자_53%,남자_47%
피앤피키친,36.38541176470587%_10|,51.38517647058821%_20|,40.311058823529386%_30|,34.002588235294084%_40|,25.806823529411737%_50|,24.144235294117614%_60|,여자_53%,남자_47%
닭갈비제작소 부평점,32.525142857142825%_10|,26.819142857142836%_20|,14.849714285714278%_30|,15.015999999999982%_40|,6.693714285714256%_50|,3.2117142857142706%_60|,여자_47%,남자_53%
바베큐광장 부평점,21.576705882352947%_10|,45.695764705882354%_20|,47.10447058823529%_30|,45.08752941176469%_40|,39.970117647058835%_50|,36.908470588235296%_60|,여자_42%,남자_58%
꾸아 부평점,4.6077142857142555%_10|,29.25857142857139%_20|,23.522857142857116%_30|,15.095714285714276%_40|,3.2002857142856875%_50|,12.131714285714247%_60|,여자_52%,남자_48%
기차길닭숯불구이,25.00000000000001%_10|,90.04549999999996%_20|,93.21249999999995%_30|,83.42399999999996%_40|,63.65449999999998%_50|,60.6705%_60|,여자_45%,남자_55%
