SHOP_CODE,SHOP_NAME,SHOP_CATEGORY,ADSTRD_CD,REGION_ID,SHOP_ADR
11800206,핀치,정통양식/경양식,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 도산대로15길 41
16724277,파운야드,한식/백반/한정식,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 선릉로153길 32
16722863,샤이닝,룸살롱/단란주점,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 도산대로 205
16723321,미드나잇몰트펍,호프/맥주,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 선릉로157길 27-3
25753008,동대문엽기떡볶이,떡볶이전문,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 논현로 841
16644188,커피,정통양식/경양식,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 강남대로162길 18
25851180,로바다야끼방추,로바다야끼,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로 144
16731769,코사카,음식점-일식,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 언주로164길 17
20378251,스타벅스신압구정점,커피전문점/카페/다방,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 언주로174길 29
25817553,캔디델리노래방,커피전문점/카페/다방,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 선릉로153길 5
25639424,일일향1호점,중국음식/중국집,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 논현로168길 25
16629883,삼십칠,정통양식/경양식,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 선릉로153길 32
16629728,윌비,커피전문점/카페/다방,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 강남대로158길 26
25810195,아티제,커피전문점/카페/다방,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 도산대로45길 6
16749489,제이라운지,정통양식/경양식,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 선릉로161길 16
16751915,분식이이래도되는가,라면김밥분식,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 논현로151길 52
25652975,솔바람물결소리,한식/백반/한정식,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 압구정로34길 14
16601869,사주카페크림,사주카페,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 선릉로157길 29
16606161,돈불리제담,한식/백반/한정식,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로2길 46
16608270,행복한만두,국수/만두/칼국수,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로10길 33
16596399,자연임실치즈피자,중국음식/중국집,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 압구정로32길 25
25669241,달빛술담문자르,민속주점,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 압구정로46길 38
16608126,온달집,기타일반유흥주점,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 강남대로152길 28
16608114,목탄장,기타일반유흥주점,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 선릉로157길 23-4
16594878,꽁티드툴레아,커피전문점/카페/다방,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 도산대로49길 39
16598544,아우어베이커리,제과점,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 언주로167길 21
16606912,마카롱쿠튀르,커피전문점/카페/다방,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로4길 13-4
16603953,부머스,커피전문점/카페/다방,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 압구정로46길 34
16603905,DUSK,커피전문점/카페/다방,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 논현로167길 19
16602461,펠트,커피전문점/카페/다방,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 언주로164길 23
16608518,나,한식/백반/한정식,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 강남대로162길 39
16599502,시그널헌터,커피전문점/카페/다방,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 강남대로152길 40
25836648,피자헛,한식/백반/한정식,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로28길 22
25765745,르쁘아종,정통양식/경양식,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 언주로173길 16
16739403,크림슨젤라또,커피전문점/카페/다방,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 도산대로11길 33
16761116,청년다방,커피전문점/카페/다방,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 논현로176길 24
16768197,뉴욕라츠오베이글스,제과점,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 압구정로48길 28
16609152,안다즈서울강남아츠,정통양식/경양식,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 논현로 854
25904410,젝키,호프/맥주,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 논현로161길 16
16606008,형훈텐동,음식점-일식,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 압구정로46길 75
16604612,마키진,음식점-일식,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 강남대로156길 8
16607210,세미계,닭갈비전문,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 도산대로49길 9
25505783,vin.ga,빠/카페/스탠드빠,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 언주로168길 6
16627638,라운지,정통양식/경양식,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 도산대로53길 29
16602284,폴트버거,패스트푸드,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 압구정로46길 71-1
16606419,에이커스,정통양식/경양식,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 도산대로17길 30
16597431,카멜커피,커피전문점/카페/다방,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 도산대로45길 16-8
16597411,몽비현스터디카페,커피전문점/카페/다방,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로8길 10
25704716,오코노미야끼,음식점-일식,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로28길 22
16594038,고급오복수산,음식점-일식,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 논현로 854
16606605,까폼,동남아음식전문점,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 선릉로153길 18
16598892,겸상,기타일반유흥주점,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 선릉로161길 34
16608944,WETCOFFEE,커피전문점/카페/다방,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 강남대로162길 18
25767043,훌라,빠/카페/스탠드빠,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 논현로 820
16597713,잠수교집,한식/백반/한정식,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 언주로153길 14
16605429,못난이꽈배기,제과점,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 압구정로 214
25264926,삼삼이네생고깃집,기타고기요리,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 도산대로11길 15
16608624,스시이토,음식점-초밥전문,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 선릉로153길 22
