name,gubun,score,visitCount,blogCount
성원닭갈비 삼산점,닭갈비,4.29/5,방문자 리뷰_ 309,블로그 리뷰_ 94
카페소삼,"카페,디저트",4.68/5,방문자 리뷰_ 459,블로그 리뷰_ 177
바우막국수,막국수,4.68/5,방문자 리뷰_ 289,블로그 리뷰_ 44
퐁듀베이커리,베이커리,4.63/5,방문자 리뷰_ 935,블로그 리뷰_ 8
낼름,요리주점,4.56/5,방문자 리뷰_ 175,블로그 리뷰_ 248
곱창폭식,"곱창,막창,양",4.43/5,방문자 리뷰_ 511,블로그 리뷰_ 277
군자대한곱창 부평역점,"곱창,막창,양",4.19/5,방문자 리뷰_ 243,블로그 리뷰_ 115
녹턴 커피 로스터스,"카페,디저트",4.62/5,방문자 리뷰_ 123,블로그 리뷰_ 191
창고재즈펍,와인,4.52/5,방문자 리뷰_ 245,블로그 리뷰_ 324
장인닭갈비,닭갈비,4.52/5,방문자 리뷰_ 461,블로그 리뷰_ 350
호호알락막걸리카페,"전통,민속주점",4.43/5,방문자 리뷰_ 250,블로그 리뷰_ 200
유로,카페,4.49/5,방문자 리뷰_ 341,블로그 리뷰_ 354
온더바,"카페,디저트",4.57/5,방문자 리뷰_ 258,블로그 리뷰_ 202
전환점,양식,4.57/5,방문자 리뷰_ 28,블로그 리뷰_ 19
스시웨이 부평점,"초밥,롤",4.46/5,방문자 리뷰_ 934,블로그 리뷰_ 445
유유샤브 부평점,샤브샤브,4.67/5,방문자 리뷰_ 452,블로그 리뷰_ 180
착한낙지 부평직영점,낙지요리,4.3/5,"방문자 리뷰_ 1,915",블로그 리뷰_ 145
누쿠미 부평본점,양갈비,4.56/5,방문자 리뷰_ 209,블로그 리뷰_ 168
경양카츠 부평점,돈가스,4.71/5,"방문자 리뷰_ 1,870",블로그 리뷰_ 289
궁참치,생선회,4.75/5,방문자 리뷰_ 250,블로그 리뷰_ 128
