STDR_YY_CD,STDR_QU_CD,TRDAR_SE_CD,TRDAR_SE_CD_NM,TRDAR_CD,TRDAR_CD_NM,TOT_FLPOP_CO,ML_FLPOP_CO,FML_FLPOP_CO,AGRDE_10_FLPOP_CO,AGRDE_20_FLPOP_CO,AGRDE_30_FLPOP_CO,AGRDE_40_FLPOP_CO,AGRDE_50_FLPOP_CO,AGRDE_60_ABOVE_FLPOP_CO,TMZON_1_FLPOP_CO,TMZON_2_FLPOP_CO,TMZON_3_FLPOP_CO,TMZON_4_FLPOP_CO,TMZON_5_FLPOP_CO,TMZON_6_FLPOP_CO,MON_FLPOP_CO,TUES_FLPOP_CO,WED_FLPOP_CO,THUR_FLPOP_CO,FRI_FLPOP_CO,SAT_FLPOP_CO,SUN_FLPOP_CO
2021,4,A,골목상권,2110936,더케이호텔(양재리본타워2단지아파트),199975,105347,94629,31869,24539,38071,45125,27611,32759,43816,43977,27827,28101,33078,23176,28603,29518,29518,29859,28974,26803,26286
2021,4,A,골목상권,2110935,한전아트센터,528204,263803,264401,89279,76275,95035,109747,72977,84890,131777,114818,71778,69754,80713,59365,76922,78938,78938,78478,77785,68715,67837
2021,4,A,골목상권,2110934,우면주공아파트,404383,202018,202365,65887,42029,71373,79462,49678,95952,103808,92072,57137,55684,56076,39605,59727,61155,61155,60658,57835,51105,52791
2021,4,A,골목상권,2110933,한국상담대학원대학교,95904,49516,46387,20683,9344,16398,20015,13008,16456,29153,21934,10701,10020,12351,11743,13928,14263,14263,14006,13942,12931,12849
2021,4,A,골목상권,2110932,서울시인재개발원,230445,122629,107816,42833,25253,42047,48714,32516,39082,46790,52523,36643,35411,36219,22861,34461,35727,35727,35444,34916,27991,26392
2021,4,A,골목상권,2110931,삼성전자서울R&D(서울우면초등학교),27536,13554,13982,5473,2455,6060,6836,2787,3925,6191,6553,4620,4258,3653,2261,4162,4580,4580,4659,4205,2617,2540
2021,4,A,골목상권,2110930,서초동성당,615033,304074,310960,117330,80133,102264,123171,85199,106934,160812,134606,75852,73729,93425,76609,88423,90414,90414,90459,89781,82986,83047
2021,4,A,골목상권,2110929,남부터미널역 1번,1410584,672596,737988,256897,173837,241630,275458,187257,275504,394541,296200,158993,158236,213337,189276,204111,205736,205736,203955,201681,194609,195491
2021,4,A,골목상권,2110928,서초우방유쉘아파트,175209,96173,79036,14926,32609,40446,35963,26053,25212,31323,36949,28861,28310,31807,17961,25939,27823,27823,27947,27111,19939,18587
2021,4,A,골목상권,2110927,잠원역,137371,62957,74414,34040,11122,13599,26476,21439,30695,25609,28688,20124,20038,26360,16554,19806,20088,20088,19858,20020,19104,18440
